@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1408,'2019/09/24 11:26:48:371',15,-14012878,-9080722,-2233875,-4794909,-7358525,-9203555,-13090491,-13224394,-12366764,-13354176,-13616826,-7562067,-1117711,-787459,-7821127,-8809568,-13354435,-13224652,-12105136,-13289412,-13483438,-4273188,-1,-1376514,-7556670,-8941412,-13880780,-13553104,-12236723,-13486535,-13679530,-3352347,-65537,-3473666,-8741456,-10124910,-13551556,-13487308,-12302776,-13422032,-14271152,-10911849,-9727576,-10248784,-10717046,-10847599,-11179911,-11709090,-12171446,-12501445,-13546910,-1314569,-1508869,-6492684,-9664617,-10848116,-12036769,-12499124,-12566979,-13094869,-13283994,-1248779,-458753,-5377547,-9202523,-10453619,-15395563,-15461357,-14343649,-15199215,-13222332,-2106671,-2892833,-9992307,-11378326,-12565174,-15462641,-16448507,-15922423,-16185080,-11711928,-1117970,-14277078,-14348532,-15004662,-15922937,-15267321,-15726330,-15792123,-16251388,-10198438,-2895929,-14740212,-14479861,-15005178,-15005693,-15726587,-16251902,-16120317,-16185853,2
1409,'2019/09/24 11:26:48:407',15,-14012879,-9146259,-2168339,-4729373,-7292988,-9203555,-13090491,-13224395,-12367021,-13419713,-13616827,-7693395,-1117967,-721667,-7886407,-8875103,-13354434,-13224908,-12105137,-13289412,-13549230,-4338980,-1,-1376514,-7556413,-8941411,-13880779,-13553360,-12302259,-13421000,-13679785,-3418139,-65537,-3473666,-8675919,-10059374,-13551555,-13487308,-12237496,-13422031,-14271408,-10977385,-9727321,-10249040,-10782582,-10782063,-11179910,-11709090,-12105910,-12501446,-13547167,-1380106,-1508868,-6492428,-9664618,-10848116,-12036768,-12499124,-12566979,-13029077,-13349532,-1248780,-458753,-5377547,-9137243,-10453617,-15395306,-15461357,-14278113,-15133679,-13222077,-2106672,-2629918,-9729135,-11246741,-12433588,-15462641,-16448507,-15922422,-16185080,-11711928,-920848,-14013905,-14414067,-14938870,-15922937,-15267321,-15726330,-15792123,-16251388,-10264230,-2829876,-14674419,-14610934,-14874106,-15005693,-15661051,-16186366,-16120317,-16185854,2
1410,'2019/09/24 11:26:48:438',15,-14078671,-9146516,-2102803,-4794909,-7292989,-9203555,-13090235,-13224395,-12432556,-13354176,-13682365,-7628116,-1117967,-721667,-7820871,-8809567,-13288898,-13290444,-12039601,-13289412,-13549230,-4338982,-1,-1376514,-7490878,-8875876,-13880779,-13553360,-12302260,-13421255,-13745066,-3483932,-65537,-3408130,-8675664,-10059374,-13551555,-13487308,-12237240,-13422031,-14271153,-10977641,-9727576,-10314320,-10782582,-10847598,-11179911,-11709090,-12105911,-12501445,-13547167,-1445898,-1508868,-6492428,-9664618,-10848116,-12037025,-12499123,-12566979,-13028820,-13284252,-1314572,-393217,-5246475,-9136986,-10519153,-15395306,-15461357,-14343648,-15067887,-13287868,-2172464,-2366747,-9531498,-11180433,-12302002,-15462641,-16448507,-15922422,-16185080,-11777722,-789263,-13750733,-14545139,-14938870,-15922937,-15267320,-15726329,-15792123,-16185596,-10330022,-2698032,-14543347,-14610934,-14808570,-15071229,-15661051,-16186366,-16120317,-16185854,2
1411,'2019/09/24 11:26:48:470',15,-14078414,-9080721,-2168339,-4729373,-7227453,-9269091,-13090492,-13224395,-12366764,-13354432,-13616828,-7627602,-1117967,-787459,-7821127,-8809567,-13419971,-13290444,-12039344,-13289412,-13549229,-4338725,-1,-1376514,-7556669,-9007203,-13880780,-13553360,-12302259,-13421256,-13810601,-3418139,-65537,-3473666,-8675920,-10124910,-13551556,-13487308,-12302777,-13422032,-14271153,-10977385,-9727320,-10183249,-10782581,-10847599,-11179912,-11774625,-12171447,-12501445,-13612446,-1380105,-1508869,-6558220,-9664618,-10782581,-11971490,-12499123,-12566979,-12963284,-13218716,-1248779,-458753,-5312011,-9202522,-10453618,-15395562,-15461357,-14278113,-15002351,-13222076,-2106670,-2037526,-9136227,-10983052,-12170159,-15528177,-16514299,-15922422,-16185080,-11711929,-657676,-13487046,-14479603,-14873334,-15857144,-15267064,-15660793,-15791867,-16251388,-10198694,-2763309,-14608883,-14610933,-14808314,-15005693,-15726587,-16186366,-16120317,-16251646,2
1412,'2019/09/24 11:26:48:504',15,-13947343,-9080466,-2234131,-4729373,-7358525,-9203555,-13090748,-13224395,-12432300,-13419714,-13616571,-7562322,-1052431,-787459,-7886663,-8744032,-13419971,-13224907,-12105136,-13289413,-13548975,-4272932,-1,-1442050,-7556671,-8941668,-13881036,-13553359,-12302004,-13421000,-13679529,-3352346,-65537,-3473666,-8675921,-10124911,-13551556,-13487308,-12302776,-13422031,-14271152,-10977385,-9727320,-10248784,-10717303,-10978671,-11245702,-11774626,-12105911,-12501446,-13546910,-1314569,-1508869,-6558220,-9599337,-10848116,-12037026,-12499124,-12501699,-12963283,-13152924,-1248779,-458753,-5312267,-9202778,-10453619,-15461099,-15461356,-14278113,-15002095,-13222076,-2040878,-1905939,-9004127,-10917002,-12169900,-15528177,-16514299,-15922422,-16185080,-11711672,-657420,-13355460,-14610419,-14873334,-15857144,-15135992,-15660793,-15726331,-16185596,-10132900,-2763309,-14739955,-14545397,-14873850,-14940157,-15661051,-16186366,-16120317,-16185854,2
1413,'2019/09/24 11:26:48:537',15,-13947342,-9080210,-2168595,-4729373,-7358525,-9269091,-13090491,-13224395,-12367019,-13354177,-13747643,-7627603,-1052176,-787459,-7886663,-8809567,-13419970,-13290189,-12039600,-13289412,-13614509,-4272931,-1,-1376514,-7556670,-8941668,-13881036,-13553104,-12302260,-13486791,-13745065,-3352346,-65537,-3539202,-8741456,-10059375,-13551555,-13487309,-12302777,-13422031,-14271152,-10911849,-9727319,-10248784,-10717047,-10782063,-11245447,-11840161,-12171446,-12501189,-13547165,-1248777,-1508869,-6492684,-9664618,-10913652,-11971489,-12564659,-12566979,-12963283,-13349530,-1248779,-458753,-5377803,-9136987,-10453619,-15461099,-15461357,-14278113,-14936558,-13222077,-2106671,-1774353,-8872027,-10785416,-12038315,-15593713,-16579835,-15922422,-16185080,-11711671,-591883,-13223873,-14414067,-14938869,-15791608,-15135992,-15660537,-15726330,-16185596,-10198436,-2828844,-14740211,-14414326,-14873850,-15005437,-15726587,-16251902,-16120573,-16185854,2
1414,'2019/09/24 11:26:48:570',15,-14013134,-9080723,-2168339,-4729372,-7292989,-9268835,-13090492,-13224395,-12497836,-13419713,-13616828,-7693138,-1052175,-721667,-7821127,-8809824,-13354435,-13224652,-12104881,-13289412,-13548973,-4338725,-1,-1376514,-7556414,-8941412,-13880779,-13553360,-12302258,-13486791,-13745064,-3417883,-65537,-3473666,-8741456,-10124910,-13551556,-13487309,-12302776,-13422031,-14336687,-11042921,-9727575,-10248785,-10717046,-10847599,-11180167,-11774626,-12105910,-12435654,-13547167,-1314569,-1508869,-6492684,-9664618,-10848116,-11971489,-12499124,-12567235,-12963284,-13283997,-1248779,-458753,-5312011,-9071451,-10519153,-15395562,-15461357,-14278112,-14936302,-13287867,-2106671,-1642768,-8674648,-10784902,-11972521,-15593713,-16579835,-15922422,-16185080,-11777208,-591883,-13092031,-14479347,-14938869,-15791608,-15135992,-15660536,-15660795,-16185596,-10133157,-2763051,-14805746,-14348790,-14808314,-14939900,-15726587,-16251902,-16120318,-16251390,2
1415,'2019/09/24 11:26:48:603',15,-14013134,-9211795,-2168339,-4794909,-7292989,-9203299,-13090236,-13224395,-12432556,-13419712,-13682364,-7693395,-1117967,-721667,-7820871,-8809567,-13354434,-13224909,-12105136,-13354949,-13548974,-4338725,-1,-1376514,-7556414,-8941413,-13880778,-13553360,-12302259,-13421255,-13745065,-3418139,-65537,-3408130,-8741455,-9994095,-13551555,-13487309,-12302776,-13487568,-14271153,-10977385,-9727321,-10183248,-10717302,-10782063,-11245446,-11774626,-12171446,-12501445,-13612447,-1380106,-1443333,-6557964,-9664618,-10848116,-12037024,-12499123,-12566979,-12897748,-13283996,-1248779,-393217,-5312011,-9136987,-10453617,-15395306,-15461357,-14343393,-14936302,-13222332,-2172207,-1511439,-8608341,-10653573,-11906472,-15593713,-16579836,-15922422,-16185080,-11777464,-591884,-13026237,-14413810,-14873334,-15726071,-15070456,-15595001,-15660795,-16185595,-10264231,-2763052,-14740211,-14348534,-14873850,-14874620,-15726587,-16186366,-16185853,-16251390,2
1416,'2019/09/24 11:26:48:638',15,-14012880,-9146259,-2102803,-4729373,-7292989,-9203299,-13090491,-13224395,-12432556,-13419714,-13616828,-7627860,-1117967,-721667,-7886407,-8809823,-13354434,-13224909,-12039601,-13289412,-13614510,-4338724,-1,-1376514,-7490878,-8941412,-13880779,-13553360,-12302259,-13421256,-13745065,-3483675,-65537,-3473666,-8675919,-10059375,-13551555,-13487309,-12302776,-13422032,-14271154,-10977385,-9727321,-10248784,-10717046,-10782063,-11114631,-11774625,-12171446,-12501446,-13547166,-1380106,-1508868,-6492684,-9599082,-10848116,-11971234,-12499124,-12566979,-12963028,-13283996,-1314316,-458753,-5312011,-9136986,-10388082,-15395306,-15461357,-14278113,-14936302,-13287612,-2172464,-1445902,-8476755,-10587779,-11906215,-15593713,-16579836,-15922422,-16185080,-11777465,-591884,-12960701,-14348275,-15004149,-15726071,-15135992,-15595000,-15726331,-16185596,-10264231,-2763308,-14806003,-14217462,-14874107,-14874364,-15726587,-16186366,-16185854,-16251391,2
1417,'2019/09/24 11:26:48:670',15,-14012878,-9146259,-2168339,-4729373,-7292988,-9203555,-13090492,-13158859,-12432299,-13354433,-13616828,-7562323,-1117711,-787203,-7821127,-8744032,-13419970,-13224908,-12104880,-13354949,-13614510,-4338725,-1,-1376514,-7491134,-8941412,-13880779,-13553360,-12236723,-13421256,-13745320,-3418139,-65537,-3473666,-8741456,-10059375,-13551555,-13487308,-12302776,-13422032,-14271153,-10977641,-9792856,-10248783,-10717046,-10847598,-11180166,-11774881,-12105910,-12501446,-13612703,-1380105,-1508869,-6492684,-9664618,-10848117,-12036770,-12499123,-12566979,-13028564,-13283997,-1314316,-393217,-5312011,-9202523,-10453618,-15395562,-15461357,-14278112,-14936301,-13222332,-2106927,-1445646,-8345425,-10652802,-11840678,-15659249,-16580092,-15987957,-16185080,-11711927,-591884,-13026238,-14479346,-14938869,-15660279,-15004919,-15529464,-15726331,-16185596,-10198692,-2829102,-14871538,-14217462,-14939642,-14874364,-15726587,-16251902,-16120318,-16251390,2
1418,'2019/09/24 11:26:48:704',15,-14012878,-9146259,-2168339,-4729373,-7292988,-9203555,-13090492,-13158859,-12432299,-13354433,-13616828,-7562323,-1117711,-787203,-7821127,-8744032,-13419970,-13224908,-12104880,-13354949,-13614510,-4338725,-1,-1376514,-7491134,-8941412,-13880779,-13553360,-12236723,-13421256,-13745320,-3418139,-65537,-3473666,-8741456,-10059375,-13551555,-13487308,-12302776,-13422032,-14271153,-10977641,-9792856,-10248783,-10717046,-10847598,-11180166,-11774881,-12105910,-12501446,-13612703,-1380105,-1508869,-6492684,-9664618,-10848117,-12036770,-12499123,-12566979,-13028564,-13283997,-1314316,-393217,-5312011,-9202523,-10453618,-15395562,-15461357,-14278112,-14936301,-13222332,-2106927,-1445646,-8345425,-10652802,-11840678,-15659249,-16580092,-15987957,-16185080,-11711927,-591884,-13026238,-14479346,-14938869,-15660279,-15004919,-15529464,-15726331,-16185596,-10198692,-2829102,-14871538,-14217462,-14939642,-14874364,-15726587,-16251902,-16120318,-16251390,2
1419,'2019/09/24 11:26:48:738',15,-13947598,-9080722,-2168595,-4729373,-7358525,-9203555,-13090492,-13224395,-12432300,-13419969,-13616828,-7627602,-1052431,-787459,-7886663,-8809567,-13419971,-13224908,-12105136,-13289413,-13483694,-4273189,-1,-1376514,-7556670,-8941412,-13881036,-13553360,-12236724,-13421256,-13745064,-3417883,-65537,-3473666,-8741456,-10124911,-13551555,-13487309,-12237240,-13422288,-14205872,-10977385,-9727320,-10249040,-10717046,-10913136,-11114376,-11774625,-12171446,-12501446,-13546910,-1314569,-1508869,-6558220,-9599083,-10782581,-12037026,-12499123,-12566979,-12963284,-13283995,-1248779,-458753,-5312011,-9137243,-10453619,-15395563,-15461357,-14278113,-14936302,-13156796,-2106670,-1445646,-8279376,-10521730,-11840678,-15659506,-16645628,-15922422,-16185080,-11777208,-657676,-13026750,-14348274,-15004405,-15660279,-15004919,-15595000,-15726331,-16185596,-10263973,-2895152,-14871796,-14151927,-15070714,-14874108,-15792123,-16186366,-16186110,-16251390,2
1420,'2019/09/24 11:26:48:772',15,-14012878,-9080466,-2168339,-4794909,-7358525,-9203555,-13090492,-13224394,-12367020,-13419969,-13616827,-7627602,-1052431,-787459,-7886664,-8744287,-13354691,-13224652,-12104881,-13355204,-13548973,-4272932,-1,-1376514,-7556670,-9006948,-13881036,-13553104,-12236723,-13486792,-13810600,-3352346,-65537,-3473666,-8741456,-10124911,-13551556,-13487308,-12302777,-13422032,-14271152,-10977384,-9727321,-10248784,-10782838,-10847599,-11179911,-11774626,-12171447,-12501445,-13612446,-1249033,-1508869,-6558220,-9664617,-10848116,-12037026,-12499123,-12566979,-12963284,-13218459,-1183243,-458753,-5312011,-9202523,-10453619,-15395563,-15461357,-14278113,-14870766,-13222331,-2106670,-1445646,-8279376,-10587265,-11840422,-15659506,-16645628,-15922422,-16119544,-11711671,-723468,-13158081,-14282738,-15069941,-15594743,-15004919,-15529464,-15660795,-16185595,-10198437,-2895411,-15002867,-14020854,-15136506,-14808828,-15792123,-16186366,-16120574,-16185854,2
1421,'2019/09/24 11:26:48:803',15,-14012878,-9015187,-2168339,-4729373,-7292989,-9268835,-13090492,-13224394,-12366764,-13419713,-13747644,-7562066,-1117711,-721923,-7886407,-8744031,-13354434,-13290444,-12039345,-13289413,-13549229,-4338724,-1,-1376514,-7556669,-8941668,-13880780,-13553359,-12236724,-13421000,-13745065,-3352602,-65537,-3473666,-8675920,-10124911,-13551556,-13487309,-12368312,-13422031,-14271152,-10911848,-9727320,-10117969,-10717046,-10782319,-11245447,-11709345,-12171446,-12501446,-13677982,-1314569,-1508869,-6558220,-9533546,-10848117,-12037026,-12499124,-12567235,-12963285,-13283995,-1248779,-458753,-5377547,-9071451,-10519154,-15395562,-15461357,-14278113,-14871023,-13222331,-2106672,-1511182,-8279376,-10587266,-11840677,-15659506,-16580092,-15922422,-16185080,-11777207,-789005,-13223875,-14282738,-15069941,-15594743,-15004919,-15594744,-15726330,-16185596,-10198437,-2895925,-15002867,-14020599,-15202043,-14743036,-15792123,-16186366,-16186110,-16185854,2
1422,'2019/09/24 11:26:48:836',15,-14012879,-9146259,-2102803,-4729373,-7292988,-9203299,-13090491,-13224395,-12432300,-13419713,-13616829,-7693395,-1117967,-721667,-7820871,-8809567,-13354435,-13290188,-12105137,-13289413,-13548975,-4404261,-1,-1376514,-7490878,-9006948,-13880779,-13553360,-12302258,-13420999,-13745065,-3418139,-65537,-3408130,-8741199,-10124910,-13486020,-13487308,-12302777,-13487568,-14271153,-10977640,-9792856,-10248784,-10717047,-10847599,-11114630,-11774626,-12171446,-12501446,-13612702,-1380362,-1443333,-6557964,-9664619,-10848116,-12036769,-12499124,-12566979,-13028821,-13284252,-1314572,-393217,-5312011,-9136987,-10453618,-15395306,-15461357,-14343648,-15002094,-13222332,-2172464,-1577232,-8279633,-10587522,-11775143,-15659249,-16580092,-15922422,-16185080,-11777465,-920591,-13355974,-14217202,-15201013,-15594743,-15004919,-15595000,-15726331,-16185596,-10264487,-2961978,-15068660,-13823991,-15267579,-14743036,-15792379,-16186366,-16186110,-16185854,2
1423,'2019/09/24 11:26:48:873',15,-14012879,-9146259,-2102803,-4729373,-7292988,-9203299,-13090491,-13224395,-12432300,-13419713,-13616829,-7693395,-1117967,-721667,-7820871,-8809567,-13354435,-13290188,-12105137,-13289413,-13548975,-4404261,-1,-1376514,-7490878,-9006948,-13880779,-13553360,-12302258,-13420999,-13745065,-3418139,-65537,-3408130,-8741199,-10124910,-13486020,-13487308,-12302777,-13487568,-14271153,-10977640,-9792856,-10248784,-10717047,-10847599,-11114630,-11774626,-12171446,-12501446,-13612702,-1380362,-1443333,-6557964,-9664619,-10848116,-12036769,-12499124,-12566979,-13028821,-13284252,-1314572,-393217,-5312011,-9136987,-10453618,-15395306,-15461357,-14343648,-15002094,-13222332,-2172464,-1577232,-8279633,-10587522,-11775143,-15659249,-16580092,-15922422,-16185080,-11777465,-920591,-13355974,-14217202,-15201013,-15594743,-15004919,-15595000,-15726331,-16185596,-10264487,-2961978,-15068660,-13823991,-15267579,-14743036,-15792379,-16186366,-16186110,-16185854,2
1424,'2019/09/24 11:26:48:903',15,-14012879,-9146259,-2168339,-4729373,-7292989,-9269091,-13090492,-13224395,-12432299,-13419712,-13616827,-7562323,-1117967,-787459,-7886663,-8809567,-13354435,-13224908,-12105136,-13354949,-13548974,-4273189,-1,-1376514,-7556670,-8941668,-13881035,-13553360,-12302259,-13421255,-13679785,-3352603,-65537,-3473666,-8741455,-10124910,-13551556,-13487308,-12302776,-13422032,-14205617,-10912104,-9727575,-10248784,-10782582,-10847599,-11180166,-11774881,-12105910,-12566982,-13612446,-1314569,-1508869,-6558220,-9599338,-10782836,-12036770,-12499123,-12566979,-13029077,-13283995,-1248779,-458754,-5312011,-9136986,-10519155,-15395563,-15461357,-14278113,-15002351,-13222331,-2106670,-1774610,-8477012,-10718852,-11906473,-15659506,-16579836,-15922422,-16185080,-11711929,-1117971,-13685197,-14217203,-15266550,-15529207,-15004920,-15529465,-15726331,-16185596,-10198694,-3159874,-15134196,-13692919,-15464443,-14743036,-15792379,-16186366,-16186110,-16185854,2
1425,'2019/09/24 11:26:48:937',15,-14012878,-9146002,-2168339,-4663836,-7292989,-9203555,-13090491,-13224395,-12432300,-13354434,-13682107,-7627602,-1117967,-787459,-7952199,-8809823,-13419971,-13224908,-12039344,-13354949,-13548973,-4273188,-1,-1376514,-7491134,-8941668,-13881036,-13553359,-12302259,-13421256,-13679529,-3352347,-65537,-3473666,-8675920,-10124910,-13486276,-13487308,-12368312,-13487568,-14271152,-10977640,-9727576,-10249040,-10717302,-10847599,-11179911,-11774626,-12171447,-12501445,-13612446,-1314569,-1508869,-6492684,-9599338,-10848116,-12037026,-12499124,-12566979,-13094613,-13218460,-1248779,-458754,-5312011,-9137243,-10453874,-15461099,-15461357,-14343648,-15002351,-13156797,-2106670,-1971732,-8543062,-10784645,-11906985,-15659506,-16579836,-15922422,-16185080,-11711673,-1184277,-13948112,-14151667,-15332342,-15529207,-15004920,-15595001,-15792123,-16185596,-10198438,-3291716,-15068916,-13561847,-15595258,-14743036,-15857916,-16186366,-16186110,-16185854,2
1426,'2019/09/24 11:26:48:970',15,-14012878,-9080466,-2168339,-4729373,-7292989,-9268835,-13090492,-13224394,-12366763,-13354177,-13682107,-7627602,-1117711,-787459,-7886663,-8875103,-13420226,-13224652,-12104880,-13289412,-13548973,-4338468,-1,-1376514,-7556670,-8941668,-13880780,-13553104,-12236723,-13421255,-13679528,-3352346,-65537,-3473666,-8675920,-10124911,-13551556,-13487309,-12237240,-13422032,-14336688,-10911849,-9792857,-10249040,-10717046,-10782062,-11180166,-11774882,-12171446,-12501446,-13546910,-1314313,-1508869,-6558220,-9664618,-10848117,-12037025,-12499123,-12566979,-13029078,-13349530,-1248779,-458753,-5377547,-9136987,-10453874,-15395563,-15461357,-14343649,-15002607,-13222332,-2106672,-2037782,-8674648,-10850694,-11972522,-15659506,-16579835,-15922422,-16185080,-11711927,-1315864,-14014163,-14086130,-15332342,-15594743,-15004919,-15595001,-15726587,-16185596,-10198693,-3423303,-15134452,-13627383,-15529978,-14743035,-15923451,-16186110,-16186110,-16185853,2
1427,'2019/09/24 11:26:49:003',15,-14078415,-9080723,-2168339,-4729373,-7358525,-9138019,-13024956,-13224395,-12432301,-13354176,-13616571,-7627603,-1117967,-787203,-7821126,-8809568,-13354434,-13290188,-12105136,-13289412,-13549229,-4338724,-1,-1376514,-7556414,-8876132,-13880779,-13553360,-12302259,-13421255,-13745064,-3418138,-65537,-3473666,-8675920,-10124910,-13551555,-13552844,-12302777,-13422031,-14271153,-10911849,-9662041,-10248784,-10782582,-10782063,-11179912,-11709346,-12171446,-12566725,-13677982,-1314569,-1508869,-6492684,-9664618,-10848116,-12036769,-12499123,-12566979,-13094615,-13283996,-1248780,-458753,-5312011,-9202523,-10453618,-15395562,-15461357,-14343649,-15067888,-13156796,-2106670,-2169368,-8806491,-10916488,-12038572,-15593713,-16579835,-15922422,-16185080,-11711928,-1316122,-14145750,-14151667,-15332342,-15594743,-15070456,-15595001,-15726587,-16251132,-10264230,-3489097,-15134453,-13692919,-15529978,-14677500,-15988988,-16120574,-16186110,-16185854,2
1428,'2019/09/24 11:26:49:039',15,-14078415,-9080723,-2168339,-4729373,-7358525,-9138019,-13024956,-13224395,-12432301,-13354176,-13616571,-7627603,-1117967,-787203,-7821126,-8809568,-13354434,-13290188,-12105136,-13289412,-13549229,-4338724,-1,-1376514,-7556414,-8876132,-13880779,-13553360,-12302259,-13421255,-13745064,-3418138,-65537,-3473666,-8675920,-10124910,-13551555,-13552844,-12302777,-13422031,-14271153,-10911849,-9662041,-10248784,-10782582,-10782063,-11179912,-11709346,-12171446,-12566725,-13677982,-1314569,-1508869,-6492684,-9664618,-10848116,-12036769,-12499123,-12566979,-13094615,-13283996,-1248780,-458753,-5312011,-9202523,-10453618,-15395562,-15461357,-14343649,-15067888,-13156796,-2106670,-2169368,-8806491,-10916488,-12038572,-15593713,-16579835,-15922422,-16185080,-11711928,-1316122,-14145750,-14151667,-15332342,-15594743,-15070456,-15595001,-15726587,-16251132,-10264230,-3489097,-15134453,-13692919,-15529978,-14677500,-15988988,-16120574,-16186110,-16185854,2
1429,'2019/09/24 11:26:49:070',15,-14013134,-9146259,-2168339,-4729373,-7292989,-9138019,-13090235,-13224395,-12498092,-13419712,-13682108,-7693396,-1117968,-721667,-7820871,-8809567,-13354434,-13224909,-12104881,-13354948,-13549229,-4338981,-1,-1376514,-7490877,-8941412,-13880779,-13553360,-12302260,-13486536,-13745321,-3483675,-65537,-3473666,-8741456,-10059375,-13486019,-13487309,-12237496,-13422031,-14336689,-11042921,-9727576,-10314320,-10782582,-10847599,-11179911,-11774881,-12171446,-12501445,-13612703,-1380361,-1508869,-6492684,-9664618,-10848116,-12037025,-12499124,-12566979,-13094870,-13284253,-1314572,-393217,-5312011,-9202523,-10453618,-15395306,-15461357,-14343649,-15068144,-13222332,-2172464,-2366490,-9003870,-10982538,-12104366,-15593713,-16514299,-15922422,-16185080,-11712185,-1381915,-14277336,-14151667,-15266806,-15660279,-15135992,-15595001,-15792123,-16185596,-10264487,-3424075,-15068917,-13824247,-15464442,-14743036,-15989244,-16120574,-16186110,-16185854,2
1430,'2019/09/24 11:26:49:102',15,-14012879,-9080724,-2168339,-4794909,-7227452,-9268835,-13090491,-13224395,-12432300,-13419713,-13682108,-7693394,-1117967,-721667,-7820872,-8809823,-13354434,-13224908,-12039601,-13289412,-13548974,-4338981,-1,-1376514,-7490877,-8941412,-13815243,-13553360,-12302259,-13421000,-13745065,-3418139,-65537,-3473666,-8675919,-10124911,-13551555,-13487308,-12302776,-13422032,-14336688,-10977641,-9727321,-10248784,-10717047,-10847599,-11179910,-11774626,-12171446,-12501445,-13612703,-1380106,-1508869,-6492684,-9599338,-10848116,-12037025,-12499124,-12566979,-13160406,-13218716,-1314572,-393217,-5312011,-9202523,-10519154,-15395307,-15461613,-14343649,-15133680,-13222333,-2172721,-2498333,-9070177,-10982796,-12170158,-15593714,-16514299,-15922422,-16185080,-11777721,-1447709,-14343386,-14151667,-15332342,-15660280,-15135992,-15595001,-15726587,-16185596,-10330023,-3555404,-15134453,-14020854,-15464442,-14677756,-16054780,-16120574,-16186110,-16185854,2
1431,'2019/09/24 11:26:49:136',15,-14012879,-9080723,-2168339,-4729373,-7227453,-9203555,-13156027,-13224395,-12432300,-13419713,-13682107,-7627859,-1052431,-787459,-7886407,-8809568,-13354434,-13290445,-12039601,-13289668,-13614510,-4338725,-1,-1376514,-7556414,-9006948,-13880780,-13553360,-12302259,-13421255,-13745065,-3352603,-65537,-3473666,-8741456,-10059374,-13551555,-13487308,-12302777,-13487567,-14336689,-10911849,-9727320,-10248784,-10782582,-10782063,-11180167,-11774882,-12171447,-12501446,-13547167,-1380105,-1508869,-6492684,-9599082,-10848116,-12036769,-12499123,-12566979,-13160663,-13283996,-1314316,-458753,-5312011,-9136987,-10584690,-15395563,-15461357,-14343905,-15199472,-13222332,-2106671,-2695455,-9267812,-11048846,-12235952,-15593970,-16514299,-15922422,-16185080,-11712184,-1513502,-14474972,-14348275,-15267062,-15726071,-15267064,-15660537,-15792123,-16251132,-10198950,-3621197,-15068917,-14283254,-15464186,-14808828,-16054780,-16186109,-16186110,-16185853,2
