@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1260,'2019/09/24 11:26:31:073',14,-15395562,-10268086,-3023649,-8011052,-9136728,-10984077,-14276308,-14607334,-14079185,-14868703,-15000542,-8749170,-2365467,-4786437,-9599848,-10655366,-14539737,-14607591,-13882835,-14934754,-14867924,-4932408,-1966338,-5638658,-9072989,-10852748,-14934496,-14870505,-14145749,-15066596,-14998736,-4207400,-3080450,-6559746,-10324081,-11708828,-14671324,-14869990,-14146266,-15067370,-15393496,-12295815,-11503984,-11633765,-12103326,-12300191,-12762290,-13159108,-13818070,-14344675,-14932167,-2495758,-5442566,-8205328,-11182483,-12234657,-13420481,-13685454,-14016223,-14410471,-14668739,-2495248,-5112578,-7678991,-10785150,-12036763,-15922164,-16053494,-15593715,-15198701,-14737114,-2831682,-5308930,-7547925,-10719613,-11971489,-16316665,-16777214,-16777215,-16711420,-13358038,-1182739,-6363411,-9790028,-11509908,-12367538,-16514044,-16777214,-16777216,-16777212,-11779268,-2431515,-9059118,-9192491,-11508881,-12695991,-16579838,-16777214,-16711678,-16776957,1
1261,'2019/09/24 11:26:31:107',14,-15263977,-11121853,-2958112,-7748652,-9267800,-10984077,-14079443,-14935784,-14210514,-14540509,-14868956,-9142901,-2496795,-4655365,-9665640,-10655365,-14342872,-15001578,-14014420,-14541024,-14670803,-5063735,-1966338,-5573122,-9269596,-10787212,-14803167,-15198700,-14277078,-14738146,-14736080,-4272936,-3014914,-6494210,-10389873,-11708827,-14605786,-15132648,-14277595,-14739176,-15196375,-12624006,-11503983,-11371365,-12299933,-12300190,-12565169,-13421509,-13949655,-13754083,-14538183,-2626831,-5442566,-8139535,-11379091,-12234912,-13223617,-13948111,-14212831,-13754598,-14340546,-2561039,-5112578,-7613199,-10916478,-12102555,-15856115,-16185079,-15725043,-14410986,-14408666,-3226188,-5308930,-7482389,-10850686,-12037024,-16250872,-16777214,-16777215,-16711422,-12832981,-1314330,-6363410,-9593163,-11575956,-12367793,-16448251,-16777215,-16777215,-16777214,-11188420,-2628639,-9059117,-9061419,-11705746,-12761525,-16514045,-16777214,-16777214,-16777214,1
1262,'2019/09/24 11:26:31:140',14,-15526891,-10793399,-2826527,-8011051,-9267543,-10852749,-14210515,-14935784,-13816528,-14737375,-15197407,-9077364,-2234136,-4720901,-9599847,-10524038,-14473944,-15001577,-13554385,-14803425,-15130580,-5195064,-1900545,-5638658,-9138268,-10655884,-14868703,-15198699,-13817300,-14935268,-15195602,-4404265,-3014914,-6559746,-10389616,-11577499,-14671323,-15067111,-13883609,-15001577,-15524825,-12558471,-11372400,-11634020,-12299934,-12103327,-12762289,-13487044,-13555413,-14213348,-15129031,-2692623,-5311494,-8205071,-11379091,-12103329,-13354946,-14013391,-13688029,-14148328,-14865604,-2561040,-5047042,-7613198,-10850686,-11905434,-15921907,-16185079,-15134450,-14936300,-14999772,-3291717,-5177858,-7547924,-10916221,-11905695,-16250872,-16777213,-16711680,-16711422,-13752026,-1249306,-6232083,-9789771,-11641235,-12104880,-16448507,-16777214,-16777216,-16777214,-12239309,-2497310,-8731437,-9192491,-11640209,-12498613,-16579837,-16777215,-16777215,-16777214,1
1263,'2019/09/24 11:26:31:172',14,-15329770,-10530745,-3023649,-8011051,-9136471,-10983822,-14210515,-14607334,-14210514,-14802910,-15000286,-8880501,-2496796,-4720645,-9534055,-10720901,-14473944,-14542313,-14014420,-14869216,-14867923,-5063992,-1966081,-5573122,-9138268,-10787212,-14868703,-14870506,-14211542,-15000803,-14932944,-4273449,-3014914,-6493954,-10323824,-11708827,-14671323,-14869990,-14277594,-15001577,-15327703,-12361607,-11635056,-11568228,-12234141,-12234654,-12696497,-13224387,-13883607,-14278883,-14800839,-2627344,-5442566,-8139535,-11182227,-12300193,-13354945,-13750734,-14147295,-14344935,-14537666,-2626833,-5178114,-7612942,-10719614,-12168090,-15856371,-16053494,-15725043,-15067372,-14605785,-2897989,-5308930,-7482132,-10719615,-12037023,-16250873,-16777214,-16777215,-16711421,-13292500,-1182997,-6363410,-9724234,-11510164,-12367536,-16448507,-16777214,-16777216,-16777213,-11779267,-2365723,-9124910,-9126699,-11508881,-12695734,-16579837,-16777215,-16777213,-16776958,1
1264,'2019/09/24 11:26:31:206',14,-15264489,-11253949,-2826782,-7748908,-9136727,-10918540,-14013906,-15001832,-14079696,-14475228,-14869469,-9274742,-2431258,-4589829,-9600103,-10590086,-14342871,-14936554,-13883347,-14475743,-14737107,-5261112,-1900546,-5507586,-9073244,-10656396,-14737630,-15264748,-14146005,-14607329,-14802384,-4404777,-3014914,-6494210,-10389616,-11708828,-14540250,-15132904,-14212315,-14673639,-15196886,-12624519,-11438447,-11371876,-12300189,-12169117,-12499888,-13487555,-13884118,-13688802,-14670022,-2692880,-5377030,-8073999,-11248276,-12169376,-13158337,-13948367,-14082014,-13624038,-14406850,-2692369,-5112578,-7482126,-10720126,-12037018,-15856114,-16185079,-15528434,-14345705,-14474969,-3423823,-5243394,-7416596,-10785662,-11905951,-16185336,-16711677,-16711679,-16580347,-13096150,-1314845,-6232338,-9527883,-11641747,-12236719,-16448507,-16711676,-16646141,-16646139,-11451848,-2628641,-8862766,-8995882,-11706001,-12630453,-16514301,-16580602,-16580602,-16646138,1
1265,'2019/09/24 11:26:31:239',14,-15527148,-10530997,-2892319,-7945516,-9202264,-10852748,-14210772,-14935527,-13816784,-14868703,-15197407,-9011572,-2299673,-4786437,-9599847,-10524293,-14539737,-14936040,-13554641,-14869218,-15130581,-5195064,-1966081,-5704194,-9138268,-10590604,-14868960,-15133162,-13817555,-15001060,-15130322,-4338984,-3014914,-6559746,-10389616,-11643036,-14671323,-15001319,-13949145,-15067369,-15524825,-12492934,-11372400,-11633765,-12299932,-12168862,-12762289,-13421507,-13621206,-14278884,-15128777,-2627087,-5377030,-8205071,-11313555,-12169121,-13420482,-13947855,-13819102,-14344935,-14865860,-2561040,-5047042,-7613198,-10850686,-11970971,-15921907,-16119286,-15199985,-15067628,-14999773,-3160130,-5177858,-7547924,-10850686,-11840160,-16316665,-16777214,-16711680,-16711421,-13817818,-1183512,-6232339,-9855563,-11575700,-12170673,-16514044,-16777214,-16777216,-16777213,-12239308,-2431516,-8731438,-9192491,-11574674,-12498869,-16579838,-16777214,-16777215,-16776957,1
1266,'2019/09/24 11:26:31:273',14,-15263976,-10465466,-3089442,-7879980,-9136728,-11049613,-14210516,-14673127,-14276305,-14802910,-14803422,-8880500,-2496796,-4720901,-9599848,-10720902,-14473944,-14607848,-14079956,-14803681,-14736340,-4932664,-1966081,-5638658,-9072989,-10853004,-14868959,-14870505,-14277079,-15000803,-14867407,-4207400,-3080450,-6559746,-10324336,-11774364,-14671323,-14869991,-14343387,-14936041,-15196631,-12427143,-11569519,-11502693,-12234397,-12300190,-12696497,-13290179,-14015192,-14213091,-14669510,-2561294,-5442566,-8139536,-11247763,-12300449,-13289409,-13750990,-14278623,-14213607,-14406338,-2561040,-5178114,-7613199,-10785150,-12168090,-15921907,-16119286,-15790579,-14870507,-14474457,-2897735,-5374466,-7547925,-10719614,-12102816,-16316665,-16777214,-16777215,-16711421,-12964050,-1182741,-6428946,-9724235,-11510164,-12367794,-16514044,-16777214,-16777215,-16777213,-11319745,-2562588,-9059373,-9126955,-11508882,-12827062,-16579581,-16777215,-16777214,-16776957,1
1267,'2019/09/24 11:26:31:306',14,-15395562,-11121851,-2826526,-7879980,-9268055,-10918284,-14144979,-15066856,-14013649,-14606046,-15000286,-9273973,-2365465,-4720901,-9730921,-10589574,-14408408,-15132906,-13817041,-14606560,-14867923,-5129271,-1900802,-5638658,-9138781,-10721676,-14803167,-15330028,-14079957,-14738146,-14933201,-4273192,-3014914,-6494210,-10455410,-11708572,-14605787,-15132648,-14080730,-14739177,-15327704,-12624262,-11437936,-11502693,-12299934,-12234398,-12565425,-13552837,-13818071,-13819619,-14866119,-2626831,-5377030,-8139536,-11379092,-12168865,-13289409,-14013903,-14081502,-13885671,-14537410,-2626576,-5112578,-7613199,-10982014,-12036763,-15856371,-16185079,-15462642,-14476523,-14671324,-3357773,-5243394,-7482389,-10916479,-11905696,-16250872,-16777214,-16777215,-16711422,-13226711,-1314845,-6297874,-9658956,-11707027,-12236465,-16448251,-16777215,-16777215,-16777214,-11647945,-2694432,-8796974,-9126955,-11771283,-12630198,-16514045,-16777214,-16777214,-16777213,1
1268,'2019/09/24 11:26:31:339',14,-15526891,-10333876,-2957856,-8011052,-9136727,-10852749,-14210772,-14804198,-13947856,-14803167,-15197407,-8880499,-2365209,-4786437,-9534311,-10589829,-14539737,-14804711,-13685970,-14935009,-15065044,-5063736,-1966081,-5638914,-9138269,-10656140,-14868959,-15067370,-13948628,-15066596,-15195601,-4207657,-3080450,-6559746,-10324081,-11643036,-14671579,-14935783,-13949401,-15067370,-15590359,-12427142,-11503729,-11634021,-12234396,-12234654,-12827825,-13355715,-13686743,-14344676,-15063495,-2561295,-5377030,-8205071,-11182227,-12169121,-13420737,-13882318,-13884639,-14410727,-14800323,-2495504,-5112578,-7678735,-10785149,-11971226,-15922164,-16053750,-15331313,-15133165,-14934236,-2963008,-5243394,-7547924,-10785149,-11905952,-16316665,-16777214,-16777215,-16711421,-13752024,-1182997,-6297875,-9855563,-11510163,-12236209,-16514044,-16777215,-16777216,-16777213,-12173513,-2431515,-8862510,-9192491,-11574418,-12564662,-16579838,-16777215,-16777215,-16776957,1
1269,'2019/09/24 11:26:31:372',14,-15198441,-10859452,-3023649,-7814445,-9136471,-10983821,-14144723,-14738664,-14276306,-14737118,-14868957,-9011830,-2497053,-4589829,-9599847,-10655366,-14342872,-14739177,-14145749,-14672096,-14670803,-5063992,-1966081,-5573122,-9138524,-10852748,-14803167,-15001835,-14342871,-14803939,-14736080,-4338729,-3014914,-6493954,-10324080,-11774363,-14605530,-15001319,-14343387,-14870249,-15196375,-12558471,-11635055,-11437156,-12299933,-12300190,-12565424,-13290179,-14014935,-14016483,-14603720,-2627087,-5442566,-8139279,-11313299,-12365729,-13289153,-13816527,-14278624,-14016998,-14275011,-2626832,-5178114,-7547406,-10785150,-12168090,-15856114,-16119286,-15790579,-14738923,-14277592,-3029579,-5308930,-7482132,-10785150,-12102559,-16250872,-16777214,-16777215,-16711421,-12898771,-1248535,-6428946,-9592906,-11641236,-12367792,-16448251,-16777215,-16777215,-16777214,-11319746,-2562589,-9124910,-9126698,-11639954,-12826806,-16514045,-16777215,-16777214,-16777214,1
